120 3
239 219 197
205 149 117
253 217 181
120 219 226
135 169 107
255 164 116
250 231 181
159 129 112
253 124 110
 35  35  35
 31 117 254
173 173 214
 25 158 189
115 102 189
 46  80 144
222  93 131
203  65  84
180 103  77
255 127  73
234 126  93
176 183 198
255 255 159
 28 211 162
255 170 204
221  68 146
 29 172 214
188  93  88
221 148 117
154 206 235
255 188 217
 43 108 196
239 205 184
110  81  96
 29 249  20
113 188 120
109 174 129
195 100 197
204 102 102
231 198 151
255 217 117
168 228 160
149 145 140
 28 172 120
240 232 145
255  29 206
178 236  93
 93 118 203
202  55 103
 59 176 143
253 252 116
252 180 213
255 189 136
246 100 175
205  74  74
151 154 170
255 130  67
200  56  90
239 152 170
253 188 180
 26  72 118
 48 186 143
 25 116 210
255 163  67
186 184 108
255 117  56
230 168 215
 65  74  76
255 110  74
 28 169 201
255 207 171
197 208 230
253 215 228
 21 128 120
252 116 253
247 128 161
142  69 133
116  66 200
157 129 186
255  29 206
255  73 107
214 138  89
255  72 208
227  37 107
238  32  77
255  83  73
192  68 143
 31 206 203
120  81 169
255 155 170
242  40  71
118 255 122
159 226 191
165 105  79
138 121  93
 69 206 162
251 126 253
205 197 194
128 218 235
236 234 190
255 207  72
253  94  83
250 167 108
252 137 172
219 215 210
 23 128 109
222 170 136
119 221 231
253 252 116
146 110 174
247  83 148
255 160 137
143  80 157
237 237 237
162 173 208
255  67 164
252 108 133
205 164 222
252 232 131
197 227 132
255 182  83
