1022 3
176 191 26
124 185 232
201 255 229
178 132 190
93 138 168
0 48 143
114 160 193
175 0 42
240 248 255
227 38 54
196 98 16
239 222 205
229 43 80
241 156 187
171 39 79
211 33 45
59 122 87
255 191 0
255 126 0
255 3 62
153 102 204
164 198 57
242 243 244
205 149 117
102 93 30
145 92 131
132 27 45
250 235 215
0 128 0
141 182 0
251 206 177
0 255 255
127 255 212
75 83 32
59 68 75
143 151 121
233 214 107
178 190 181
135 169 107
255 153 102
165 42 42
253 238 0
110 127 128
86 130 3
0 127 255
240 255 255
219 233 244
137 207 240
161 202 241
244 194 194
254 254 250
255 145 175
33 171 205
250 231 181
255 225 53
0 106 78
224 33 138
124 10 2
132 132 130
152 119 123
46 88 148
188 212 230
159 129 112
245 245 220
156 37 66
255 228 196
61 43 31
150 113 23
202 224 13
191 255 0
254 111 94
191 79 81
0 0 0
61 12 2
37 53 41
59 60 54
255 235 205
165 113 100
49 140 231
172 229 238
250 240 190
0 0 255
31 117 254
0 147 175
0 135 189
0 24 168
51 51 153
2 71 254
102 153 204
13 152 186
85 53 146
138 43 226
162 162 208
18 97 128
80 114 167
79 134 247
28 28 240
222 93 131
121 68 59
0 149 182
227 218 201
204 0 0
135 50 96
0 112 255
181 166 66
203 65 84
29 172 214
102 255 0
191 148 228
216 145 239
195 33 72
25 116 210
255 0 127
8 232 222
209 159 232
51 153 255
244 187 255
255 85 163
251 96 127
1 66 37
205 127 50
115 112 0
150 75 0
107 68 35
204 153 102
27 77 62
255 193 204
231 254 255
123 182 97
240 220 130
72 6 7
128 0 32
222 184 135
204 85 0
233 116 81
138 51 36
189 51 164
112 41 99
0 122 165
224 60 49
83 104 114
95 158 160
145 163 176
0 107 60
237 135 45
227 0 34
255 246 0
166 123 91
75 54 33
30 77 43
163 193 173
193 154 107
239 187 204
120 134 107
255 239 0
255 8 0
228 113 122
0 191 255
89 39 32
196 30 58
0 204 153
150 0 24
215 0 64
235 76 66
255 0 56
255 166 201
179 27 27
86 160 211
237 145 33
0 86 63
6 42 120
112 54 66
201 90 73
146 161 207
172 225 175
0 123 167
47 132 124
178 255 255
73 151 208
222 49 99
236 59 131
42 82 190
109 155 195
160 120 90
247 231 206
54 69 79
35 43 43
230 143 172
223 255 0
127 255 0
255 183 197
149 69 53
222 111 161
168 81 110
170 56 30
133 96 136
123 63 0
210 105 30
255 167 0
152 129 123
227 66 52
228 208 10
159 169 31
127 23 52
251 204 231
0 71 171
150 90 62
111 78 55
196 216 226
248 131 121
140 146 172
184 115 51
218 138 103
173 111 105
203 109 81
153 102 102
255 56 0
255 127 80
255 64 64
137 63 69
251 236 93
100 149 237
255 248 220
255 248 231
255 188 217
129 97 62
255 253 208
220 20 60
190 0 50
153 0 0
0 183 235
70 130 191
78 130 180
40 88 156
24 139 194
88 66 124
255 211 0
255 255 49
240 225 48
0 0 139
102 102 153
101 67 33
136 101 78
93 57 84
164 0 0
8 69 126
152 105 96
205 91 69
0 139 139
83 104 120
184 134 11
169 169 169
1 50 32
0 100 0
0 65 106
110 110 249
26 36 33
189 183 107
72 60 50
115 79 150
83 75 79
84 61 55
139 0 139
0 51 102
74 93 35
85 107 47
255 140 0
153 50 204
119 158 203
3 192 60
150 111 214
194 59 34
231 84 128
0 51 153
79 58 60
135 38 87
139 0 0
233 150 122
86 3 25
143 188 143
60 20 20
140 190 214
72 61 139
47 79 79
23 114 69
145 129 81
255 168 18
204 78 92
0 206 209
209 190 168
148 0 211
155 135 12
0 112 60
85 85 85
215 10 83
64 130 109
169 32 62
239 48 56
233 105 44
218 50 135
250 214 165
185 78 72
112 66 65
193 84 193
5 102 8
14 124 97
0 75 73
51 51 102
245 199 26
153 85 187
204 0 204
130 0 0
212 115 212
53 94 59
255 203 164
255 20 147
169 92 104
133 1 1
132 63 91
255 153 51
74 100 108
126 94 96
102 66 77
51 0 102
186 135 89
21 96 189
102 153 153
237 201 175
234 60 83
185 242 255
105 105 105
155 118 83
30 144 255
215 24 104
133 187 101
102 76 40
0 0 156
229 204 201
239 223 187
225 169 95
85 93 80
194 178 128
27 27 27
97 64 81
240 234 214
16 52 166
125 249 255
255 0 63
0 255 0
111 0 255
204 255 0
191 0 255
63 0 255
143 0 255
255 255 51
80 200 120
108 48 130
180 131 149
171 75 82
86 60 92
150 200 162
68 215 168
128 24 24
181 51 137
222 82 133
244 0 161
229 170 112
77 93 83
253 213 177
79 121 66
255 40 0
108 84 30
206 32 41
178 34 34
226 88 34
252 142 172
247 233 142
238 220 130
162 0 109
255 250 240
255 0 79
1 68 33
34 139 34
133 109 77
0 114 187
253 63 146
134 96 142
158 253 56
253 108 158
129 20 83
78 22 9
199 44 72
246 74 138
119 181 254
136 6 206
172 30 68
166 231 255
255 0 255
255 119 255
204 57 123
199 67 117
228 132 0
204 102 102
0 171 102
228 155 15
153 102 0
0 127 102
248 248 255
254 90 29
96 130 182
230 232 250
212 175 55
255 215 0
133 117 78
153 101 21
252 194 0
255 223 0
218 165 32
168 228 160
111 45 168
128 128 128
190 190 190
70 89 69
28 172 120
0 168 119
0 159 107
0 173 67
0 165 80
102 176 50
17 100 180
0 153 102
173 255 47
136 88 24
169 154 134
176 101 0
0 255 127
102 56 84
68 108 207
82 24 250
63 255 0
70 203 24
201 0 22
218 145 0
128 128 0
223 115 255
170 152 169
170 0 187
240 255 240
0 109 176
73 121 107
255 29 206
255 105 180
113 166 210
252 247 94
49 145 119
96 47 107
0 35 149
102 2 60
237 41 57
178 236 93
76 81 109
19 136 8
205 92 92
227 168 87
75 0 130
9 31 146
0 47 167
255 79 0
186 22 12
192 54 44
90 79 207
179 68 108
244 240 236
0 144 0
255 255 240
0 168 107
157 41 51
38 67 72
91 50 86
248 222 126
215 59 62
165 11 94
218 97 78
52 52 52
244 202 22
138 185 241
189 218 87
41 171 135
232 0 13
76 187 23
124 28 5
58 176 158
240 230 140
136 45 23
231 159 196
53 66 48
8 120 48
214 202 221
38 97 156
255 255 102
169 186 157
207 16 32
181 126 220
230 230 250
204 204 255
255 240 245
196 195 208
148 87 235
238 130 238
251 174 210
150 123 182
251 160 227
124 252 0
255 247 0
255 250 205
204 160 29
253 255 0
227 255 0
246 234 190
255 244 79
186 147 216
84 90 167
26 17 16
173 216 230
254 46 46
181 101 29
230 103 113
136 172 224
240 128 128
147 204 234
