42 3
166  29  70
 54  56  88
 18  61   7
  6  96 250
234 240 200
 23  75 234
 74 172 118
225  71 103
 57 245 219
  8  19 214
227  45  88
104 192 170
154 119  37
112 236 188
168  94 110
114 235 139
 28  33  69
 29 252  50
 91 145 130
 26 103 192
141 137 247
 60 210 254
149 249 100
216  76  51
115 198  10
  3  32 148
 36  34 220
 65 119 192
170 156 148
220  56  79
 16 228 140
119  48 209
217  74 230
148   8 239
114  66  56
233  48 172
193  74  40
200  80 109
225 111 191
208 201  59
105 242 126
 14  44  19
